studyId,TRIAL_INSTANCE,trial,gen,block,ibk,col,row,resp
2089,19,loc_05,geno_21,1,6,9,2,2052
2089,19,loc_05,geno_22,1,6,10,2,968
2089,19,loc_05,geno_23,1,6,11,2,1840
2089,19,loc_05,geno_17,2,1,1,3,2602
2089,19,loc_05,geno_12,2,1,2,3,1485
2089,19,loc_05,geno_22,2,1,3,3,1085
2089,19,loc_05,geno_05,2,1,4,3,2342
2089,19,loc_05,geno_10,2,2,5,3,2448
2089,19,loc_05,geno_16,2,2,6,3,2453
2089,19,loc_05,geno_06,2,2,7,3,1960
2089,19,loc_05,geno_04,2,2,8,3,1857
2089,19,loc_05,geno_18,2,3,9,3,2967
2089,19,loc_05,geno_21,2,3,10,3,2252
2089,19,loc_05,geno_11,2,3,11,3,2323
2089,19,loc_05,geno_15,2,3,12,3,3157
2089,19,loc_05,geno_23,2,4,1,4,2502
2089,19,loc_05,geno_09,2,4,2,4,1900
2089,19,loc_05,geno_07,2,4,3,4,1957
2089,19,loc_05,geno_03,2,4,4,4,2280
2089,19,loc_05,geno_20,2,5,5,4,1530
2089,19,loc_05,geno_14,2,5,6,4,1337
2089,19,loc_05,geno_08,2,5,7,4,2220
2089,19,loc_05,geno_02,2,5,8,4,2372
2089,19,loc_05,geno_01,2,6,9,4,3258
2089,19,loc_05,geno_19,2,6,10,4,2595
2089,19,loc_05,geno_13,2,6,12,4,2025
2089,1,loc_06,geno_01,1,1,1,1,3167
2089,1,loc_06,geno_02,1,1,2,1,4500
2089,1,loc_06,geno_03,1,1,3,1,4333
2089,1,loc_06,geno_04,1,1,4,1,4667
2089,1,loc_06,geno_05,1,2,5,1,5333
2089,1,loc_06,geno_06,1,2,6,1,4083
2089,1,loc_06,geno_07,1,2,7,1,4167
2089,1,loc_06,geno_08,1,2,8,1,5333
2089,1,loc_06,geno_09,1,3,9,1,4833
2089,1,loc_06,geno_10,1,3,10,1,4667
2089,1,loc_06,geno_11,1,3,11,1,4000
2089,1,loc_06,geno_12,1,3,12,1,4833
2089,1,loc_06,geno_13,1,4,1,2,5667
2089,1,loc_06,geno_14,1,4,2,2,5333
2089,1,loc_06,geno_15,1,4,3,2,4000
2089,1,loc_06,geno_16,1,4,4,2,3833
2089,1,loc_06,geno_17,1,5,5,2,4167
2089,1,loc_06,geno_18,1,5,6,2,4500
2089,1,loc_06,geno_19,1,5,7,2,4000
2089,1,loc_06,geno_20,1,5,8,2,5833
2089,1,loc_06,geno_21,1,6,9,2,5800
2089,1,loc_06,geno_22,1,6,10,2,4667
2089,1,loc_06,geno_23,1,6,11,2,4333
2089,1,loc_06,geno_17,2,1,1,3,3333
2089,1,loc_06,geno_12,2,1,2,3,4167
2089,1,loc_06,geno_22,2,1,3,3,4167
2089,1,loc_06,geno_05,2,1,4,3,4833
2089,1,loc_06,geno_10,2,2,5,3,5500
2089,1,loc_06,geno_16,2,2,6,3,4333
2089,1,loc_06,geno_06,2,2,7,3,4333
2089,1,loc_06,geno_04,2,2,8,3,5333
2089,1,loc_06,geno_18,2,3,9,3,5167
2089,1,loc_06,geno_21,2,3,10,3,4833
2089,1,loc_06,geno_11,2,3,11,3,3833
2089,1,loc_06,geno_15,2,3,12,3,5000
2089,1,loc_06,geno_23,2,4,1,4,5167
2089,1,loc_06,geno_09,2,4,2,4,5000
2089,1,loc_06,geno_07,2,4,3,4,3833
2089,1,loc_06,geno_03,2,4,4,4,4133
2089,1,loc_06,geno_20,2,5,5,4,4500
2089,1,loc_06,geno_14,2,5,6,4,4333
2089,1,loc_06,geno_08,2,5,7,4,3667
2089,1,loc_06,geno_02,2,5,8,4,5500
2089,1,loc_06,geno_01,2,6,9,4,5667
2089,1,loc_06,geno_19,2,6,10,4,4667
2089,1,loc_06,geno_13,2,6,12,4,4167
2089,,loc_07,geno_01,1,1,1,1,9560
2089,,loc_07,geno_02,1,1,2,1,5208
2089,,loc_07,geno_03,1,1,3,1,7176
2089,,loc_07,geno_04,1,1,4,1,6134
2089,,loc_07,geno_05,1,2,5,1,8681
2089,,loc_07,geno_06,1,2,6,1,7292
2089,,loc_07,geno_07,1,2,7,1,6319
2089,,loc_07,geno_08,1,2,8,1,7523
2089,,loc_07,geno_09,1,3,9,1,5833
2089,,loc_07,geno_10,1,3,10,1,7917
2089,,loc_07,geno_11,1,3,11,1,5903
2089,,loc_07,geno_12,1,3,12,1,7639
2089,,loc_07,geno_13,1,4,1,2,7940
2089,,loc_07,geno_14,1,4,2,2,7870
2089,,loc_07,geno_15,1,4,3,2,8218
2089,,loc_07,geno_16,1,4,4,2,7593
2089,,loc_07,geno_17,1,5,5,2,8912
2089,,loc_07,geno_18,1,5,6,2,6296
2089,,loc_07,geno_19,1,5,7,2,7407
2089,,loc_07,geno_20,1,5,8,2,5856
2089,,loc_07,geno_21,1,6,9,2,6296
2089,,loc_07,geno_22,1,6,10,2,5347
2089,,loc_07,geno_23,1,6,11,2,7616
2089,,loc_07,geno_17,2,1,1,3,8611
2089,,loc_07,geno_12,2,1,2,3,8171
2089,,loc_07,geno_22,2,1,3,3,7176
2089,,loc_07,geno_05,2,1,4,3,9144
2089,,loc_07,geno_10,2,2,5,3,7222
2089,,loc_07,geno_16,2,2,6,3,7940
2089,,loc_07,geno_06,2,2,7,3,8403
2089,,loc_07,geno_04,2,2,8,3,6713
2089,,loc_07,geno_18,2,3,9,3,8056
2089,,loc_07,geno_21,2,3,10,3,6134
2089,,loc_07,geno_11,2,3,11,3,6296
2089,,loc_07,geno_15,2,3,12,3,8264
2089,,loc_07,geno_23,2,4,1,4,7917
2089,,loc_07,geno_09,2,4,2,4,6759
2089,,loc_07,geno_07,2,4,3,4,6759
2089,,loc_07,geno_03,2,4,4,4,7685
2089,,loc_07,geno_20,2,5,5,4,6759
2089,,loc_07,geno_14,2,5,6,4,7361
2089,,loc_07,geno_08,2,5,7,4,8403
2089,,loc_07,geno_02,2,5,8,4,5139
2089,,loc_07,geno_01,2,6,9,4,6366
2089,,loc_07,geno_19,2,6,10,4,7292
2089,,loc_07,geno_13,2,6,12,4,7986
