"row","col","TRIAL_INSTANCE","trial","gen","block","ibk","resp","id","check","scres"
3,3,18,"loc_08","geno_22",2,1,8150,348,0,-0.155834337852155
3,4,18,"loc_08","geno_05",2,1,8675,349,0,1.14146908860228
3,5,18,"loc_08","geno_10",2,2,9717,350,0,1.40562654223452
3,6,18,"loc_08","geno_16",2,2,9236,351,1,1.72435099168103
3,7,18,"loc_08","geno_06",2,2,8828,352,0,0.206513131754881
3,8,18,"loc_08","geno_04",2,2,7522,353,0,-1.68514154277619
3,9,18,"loc_08","geno_18",2,3,6886,354,0,-1.80565646956112
3,10,18,"loc_08","geno_21",2,3,6089,355,0,-1.11420538797114
3,11,18,"loc_08","geno_11",2,3,8283,356,1,1.02048632437371
3,12,18,"loc_08","geno_15",2,3,8556,357,0,0.504240108791916
4,1,18,"loc_08","geno_23",2,4,7175,358,0,-0.848653494630327
4,2,18,"loc_08","geno_09",2,4,6764,359,0,-0.684857762160579
4,3,18,"loc_08","geno_07",2,4,7553,360,0,-0.0914390839923826
4,4,18,"loc_08","geno_03",2,4,7761,361,0,0.616833037202393
4,5,18,"loc_08","geno_20",2,5,7761,362,1,0.544430404450006
4,6,18,"loc_08","geno_14",2,5,7789,363,0,-0.881943612203924
4,7,18,"loc_08","geno_08",2,5,7439,364,0,-0.713206618433547
4,8,18,"loc_08","geno_02",2,5,7694,365,1,0.0798408655119441
4,9,18,"loc_08","geno_01",2,6,9389,366,0,1.1071839314148
4,10,18,"loc_08","geno_19",2,6,9219,367,0,0.459460339612502
4,12,18,"loc_08","geno_13",2,6,8611,368,0,0.481020161753752
1,1,NA,"loc_09","geno_01",1,1,980,369,0,0.733220220453052
1,2,NA,"loc_09","geno_02",1,1,1020,370,1,-0.160283059142865
1,3,NA,"loc_09","geno_03",1,1,840,371,0,-0.755980930651905
1,4,NA,"loc_09","geno_04",1,1,910,372,0,0.449872429911876
1,5,NA,"loc_09","geno_05",1,2,990,373,0,-0.0285845423841583
1,6,NA,"loc_09","geno_06",1,2,720,374,0,-1.27529481897794
1,7,NA,"loc_09","geno_07",1,2,820,375,0,-1.51887377222964
1,8,NA,"loc_09","geno_08",1,2,870,376,0,0.0181519395822829
