"","gen","predicted.value","std.error","status","weight","Environment"
"147","geno_09",6375.58276948254,310.167168659047,"Estimable",1.04175104674577e-05,"loc_07"
"148","geno_10",7517.09540743415,320.33478022085,"Estimable",1.00291311567473e-05,"loc_07"
"149","geno_11",6339.88674361444,332.485039610311,"Estimable",9.38972210925653e-06,"loc_07"
"150","geno_12",7795.40229003064,320.073163925205,"Estimable",1.00444283445603e-05,"loc_07"
"151","geno_13",7911.25766464907,320.161079902376,"Estimable",1.00407349336749e-05,"loc_07"
"152","geno_14",7525.72011769268,323.392601986373,"Estimable",9.86913154065765e-06,"loc_07"
"153","geno_15",8146.91818516522,310.145112093943,"Estimable",1.04174999309098e-05,"loc_07"
"154","geno_16",7649.92964114159,311.143557551557,"Estimable",1.03700120876666e-05,"loc_07"
"155","geno_17",8458.64291226743,318.827241862997,"Estimable",9.98991341359507e-06,"loc_07"
"156","geno_18",7212.30911811036,310.144730395386,"Estimable",1.04175232283837e-05,"loc_07"
"157","geno_19",7437.3369594169,324.31869597763,"Estimable",9.83600741173734e-06,"loc_07"
"158","geno_20",6458.44491973255,320.160373618518,"Estimable",1.00407770659222e-05,"loc_07"
"159","geno_21",6433.4328682681,316.286777431931,"Estimable",1.01134460934727e-05,"loc_07"
"160","geno_22",6377.53977689882,309.376932376741,"Estimable",1.04555225436829e-05,"loc_07"
"161","geno_23",7722.69923320267,320.056801632749,"Estimable",1.00444260141205e-05,"loc_07"
"162","geno_01",8044.90851155454,355.455037817674,"Estimable",9.73503360624249e-06,"loc_08"
"163","geno_02",7865.40109593889,353.167441737421,"Estimable",9.96274463259337e-06,"loc_08"
"164","geno_03",7763.16733339078,353.021317039091,"Estimable",9.96274463259336e-06,"loc_08"
"165","geno_04",7247.34594954038,353.171352731133,"Estimable",9.96274463259336e-06,"loc_08"
"166","geno_05",8209.59297323486,353.141119199634,"Estimable",9.96274463259336e-06,"loc_08"
"167","geno_06",7911.89045225289,353.247465799486,"Estimable",9.96274463259337e-06,"loc_08"
"168","geno_07",7795.21612634048,353.171352731133,"Estimable",9.96274463259336e-06,"loc_08"
"169","geno_08",7879.23572672151,353.206475031166,"Estimable",9.96274463259336e-06,"loc_08"
"170","geno_09",7207.38980455786,353.167441737421,"Estimable",9.96274463259336e-06,"loc_08"
"171","geno_10",8394.41401311238,353.206475031166,"Estimable",9.96274463259336e-06,"loc_08"
"172","geno_11",8301.85647726502,353.120689175577,"Estimable",9.96274463259336e-06,"loc_08"
"173","geno_12",8077.12070562932,353.16688804736,"Estimable",9.96274463259336e-06,"loc_08"
"174","geno_13",7472.84142452986,355.490438896963,"Estimable",9.73503360624249e-06,"loc_08"
"175","geno_14",8286.5415576722,353.16688804736,"Estimable",9.96274463259337e-06,"loc_08"
"176","geno_15",8749.84948411655,353.010686357808,"Estimable",9.96274463259336e-06,"loc_08"
"177","geno_16",7805.27119774414,353.141119199634,"Estimable",9.96274463259337e-06,"loc_08"
"178","geno_17",7216.68126569948,353.010686357808,"Estimable",9.96274463259336e-06,"loc_08"
"179","geno_18",7862.84275022064,353.031264659226,"Estimable",9.96274463259336e-06,"loc_08"
"180","geno_19",8087.96735876631,355.437550767559,"Estimable",9.7350336062425e-06,"loc_08"
